TradingDate,StrikePrice,CallPut,Volume,AVGPriceDiff
2021-06-10,550,C,2,0
2021-06-10,600,C,4,0
2021-06-10,625,C,7,0
2021-06-10,650,C,14,0
2021-06-10,700,C,31,0
2021-06-10,750,C,35,0
2021-06-11,750,C,17,-20.46702502745508
2021-06-11,700,C,37,-13.85391271278769
2021-06-11,650,C,19,-10.76981627045295
2021-06-11,625,C,5,-10.154451266308499
2021-06-11,600,C,7,-8.019681854947436
2021-06-11,550,C,3,-4.1887212958172455
2021-06-14,550,C,2,5.403794037940372
2021-06-14,600,C,13,-0.5343872449669078
2021-06-14,625,C,9,-1.6150442477875941
2021-06-14,650,C,43,-0.6454718950178062
2021-06-14,700,C,42,-5.1093974804711735
2021-06-14,750,C,54,-13.600329455369092
2021-06-15,750,C,74,-51.03297874111436
2021-06-15,700,C,53,-32.071123297141924
2021-06-15,650,C,29,-22.16856717383368
2021-06-15,625,C,5,-24.809782608695656
2021-06-15,600,C,22,-19.389951359192906
2021-06-15,550,C,1,-16.353333333333325
2021-06-16,550,C,2,-17.410023545240534
2021-06-16,600,C,54,-25.82808148908103
2021-06-16,625,C,5,-32.960861509958306
2021-06-16,650,C,52,-35.873807342500555
2021-06-16,700,C,50,-52.24721662894717
2021-06-16,750,C,28,-74.81285328716203
2021-06-17,750,C,53,-63.68903667875864
2021-06-17,700,C,131,-37.33291864762006
2021-06-17,675,C,15,0
2021-06-17,650,C,68,-20.508320673337124
2021-06-17,625,C,7,-15.701022023895206
2021-06-17,600,C,30,-10.940609412555233
2021-06-17,550,C,10,-4.258013643803537
2021-06-18,550,C,4,1.309055952953159
2021-06-18,600,C,10,-3.2582222302405057
2021-06-18,625,C,74,-4.969887890299333
2021-06-18,650,C,223,-7.772903530985914
2021-06-18,675,C,13,8.563141752233633
2021-06-18,700,C,112,-21.949421057509795
2021-06-18,750,C,50,-39.81707456150349
2021-06-21,750,C,152,-45.19728230380872
2021-06-21,700,C,139,-25.779734408450068
2021-06-21,675,C,8,8.893447047392854
2021-06-21,650,C,107,-10.334262734675264
2021-06-21,625,C,66,-8.136511028113347
2021-06-21,600,C,152,-4.61901818505406
2021-06-21,550,C,12,4.688310624470944
2021-06-22,550,C,2,2.5951557093425635
2021-06-22,600,C,12,-1.1382880030629252
2021-06-22,625,C,59,-8.351459416233524
2021-06-22,650,C,85,-13.064655652618384
2021-06-22,675,C,15,6.747797389280137
2021-06-22,700,C,84,-27.714727808200394
2021-06-22,750,C,38,-52.387805835404976
2021-06-23,750,C,168,9.246407846558498
2021-06-23,700,C,300,18.19881362038683
2021-06-23,675,C,48,37.64637067229841
2021-06-23,650,C,328,22.91928716875792
2021-06-23,625,C,48,19.01375337956975
2021-06-23,600,C,34,23.34487499162934
2021-06-23,550,C,7,21.824569037228528
2021-06-24,550,C,15,66.27726338243704
2021-06-24,600,C,43,60.5570656093441
2021-06-24,625,C,33,66.57500110263308
2021-06-24,650,C,178,56.25319861351707
2021-06-24,675,C,116,69.05919715190194
2021-06-24,700,C,482,57.2717941052955
2021-06-24,750,C,266,63.8340863370307
2021-06-25,750,C,155,47.6271975879242
2021-06-25,700,C,304,47.056912140411
2021-06-25,675,C,75,57.24268192835545
2021-06-25,650,C,44,45.339370762264544
2021-06-25,625,C,7,40.693942300597655
2021-06-25,600,C,40,39.53703336898678
2021-06-25,550,C,5,38.171319257474856
2021-06-28,600,C,15,45.11867700549116
2021-06-28,625,C,8,46.45448981376236
2021-06-28,650,C,45,49.2975865509647
2021-06-28,675,C,46,60.95336570764149
2021-06-28,700,C,307,51.280968602985716
2021-06-28,750,C,157,50.337094306421676
2021-06-29,750,C,122,39.975520195838364
2021-06-29,700,C,222,44.373193996940216
2021-06-29,675,C,23,55.625400076814756
2021-06-29,650,C,64,44.31725186880452
2021-06-29,625,C,10,41.97314062638182
2021-06-29,600,C,2,41.70995009675119
2021-06-29,550,C,4,38.3122735707343
2021-06-30,550,C,1,42.57370360621216
2021-06-30,600,C,3,46.24307316615008
2021-06-30,625,C,5,43.77387131524826
2021-06-30,650,C,18,47.388164479036924
2021-06-30,675,C,41,58.56895849797639
2021-06-30,700,C,233,47.525205318419076
2021-06-30,750,C,113,44.29871821676126
2021-07-01,750,C,135,34.542218706743114
2021-07-01,700,C,201,40.78416679062467
2021-07-01,675,C,68,52.93127997847783
2021-07-01,650,C,70,41.349842159631876
2021-07-01,625,C,9,40.5419789134531
2021-07-01,600,C,4,42.339755698274786
2021-07-01,550,C,3,37.06850961538461
2021-07-02,550,C,8,37.97466105158412
2021-07-02,600,C,15,41.96371232145152
2021-07-02,625,C,11,42.601849537615585
2021-07-02,650,C,47,43.62269257798439
2021-07-02,675,C,72,54.443034899727394
2021-07-02,700,C,391,41.004931813403786
2021-07-02,750,C,334,30.69354857818898
2021-07-06,750,C,241,-2.235247711120252
2021-07-06,700,C,526,15.742777655562918
2021-07-06,675,C,75,38.53614766706547
2021-07-06,650,C,80,24.42368287548075
2021-07-06,625,C,11,26.395303098731077
2021-07-06,600,C,36,30.25674006126559
2021-07-06,550,C,11,32.01398086307394
2021-07-07,600,C,36,20.35084192785243
2021-07-07,625,C,3,13.126536788348787
2021-07-07,650,C,138,8.709475212007561
2021-07-07,675,C,44,20.966473122307534
2021-07-07,700,C,430,-9.324284479254999
2021-07-07,750,C,207,-41.46153846153845
2021-07-08,750,C,245,-68.60416163816078
2021-07-08,700,C,451,-23.26088722925448
2021-07-08,675,C,76,13.408577878103827
2021-07-08,650,C,273,2.963331467354223
2021-07-08,625,C,28,-1.4019207418037212
2021-07-08,600,C,46,13.783798829628012
2021-07-08,550,C,9,18.86518595041322
2021-07-09,550,C,3,22.840343069350695
2021-07-09,600,C,22,21.90903227406912
2021-07-09,625,C,7,16.653272845106926
2021-07-09,650,C,272,11.292578726433106
2021-07-09,675,C,57,22.867148565527827
2021-07-09,700,C,367,-13.331596788505124
2021-07-09,750,C,220,-60.62123711462999
2021-07-12,750,C,605,-7.9027532491714965
2021-07-12,700,C,1000,21.438567484904596
2021-07-12,675,C,152,43.16432723663688
2021-07-12,650,C,214,34.69501945969891
2021-07-12,625,C,18,34.98733938316846
2021-07-12,600,C,44,36.80197950231378
2021-07-12,550,C,10,35.41762259291605
2021-07-13,550,C,15,32.13209865661504
2021-07-13,600,C,21,35.024921074255076
2021-07-13,625,C,26,31.39892920333648
2021-07-13,650,C,147,32.03447327404419
2021-07-13,675,C,161,38.857164457436596
2021-07-13,700,C,1089,15.347951301573488
2021-07-13,750,C,522,-18.302579478780316
2021-07-14,750,C,759,-75.57112776507341
2021-07-14,700,C,1138,-16.903391887556538
2021-07-14,675,C,216,26.99396685132436
2021-07-14,650,C,131,11.155491748913889
2021-07-14,625,C,15,18.53686799413518
2021-07-14,600,C,45,23.185036505058235
2021-07-14,550,C,11,27.773806657436964
2021-07-15,550,C,5,17.062669885380828
2021-07-15,600,C,39,10.173000772648237
2021-07-15,625,C,25,0.6171129844726408
2021-07-15,650,C,477,-17.864378584195777
2021-07-15,675,C,142,-3.78378003872956
2021-07-15,700,C,1493,-63.83743788508863
2021-07-15,750,C,534,-173.05691918201865
2021-07-16,750,C,469,-240.7452621099165
2021-07-16,700,C,1080,-100.40726177213463
2021-07-16,675,C,113,-26.200909422955803
2021-07-16,650,C,535,-26.747483821719726
2021-07-16,625,C,16,-9.231981212004143
2021-07-16,600,C,49,3.5390605384173455
2021-07-16,550,C,15,14.448874219796735
2021-07-19,550,C,18,4.38866130612891
2021-07-19,600,C,146,-14.402455536525665
2021-07-19,625,C,138,-43.98217242859772
2021-07-19,650,C,1289,-54.99450961288002
2021-07-19,675,C,247,-60.1659070023328
2021-07-19,700,C,1953,-177.10851142608828
2021-07-19,750,C,605,-423.1814238254119
2021-07-20,750,C,862,-313.7432612840464
2021-07-20,700,C,2456,-104.75795513973821
2021-07-20,675,C,284,-23.202026557443233
2021-07-20,650,C,1528,-29.28818211225925
2021-07-20,625,C,37,-10.748266513737548
2021-07-20,600,C,50,2.147338906840389
2021-07-20,550,C,6,14.895242429660456
2021-07-21,550,C,9,21.14370914786589
2021-07-21,600,C,56,12.721826623279384
2021-07-21,625,C,64,-1.9781439722462721
2021-07-21,650,C,712,-17.50134967250105
2021-07-21,675,C,308,-14.063461582344374
2021-07-21,700,C,3434,-98.0045792090448
2021-07-21,750,C,896,-333.0942796651943
2021-07-22,750,C,1402,-547.7873838291665
2021-07-22,700,C,3686,-157.93018612082295
2021-07-22,675,C,504,-40.03742797879701
2021-07-22,650,C,1581,-34.80933864181651
2021-07-22,625,C,59,-8.378326494372843
2021-07-22,600,C,102,5.296327658870368
2021-07-22,550,C,16,15.615670063216939
2021-07-23,550,C,40,11.069328523240287
2021-07-23,600,C,174,-9.251303811715744
2021-07-23,625,C,33,-34.12236301854733
2021-07-23,650,C,3492,-69.12956104396656
2021-07-23,675,C,713,-93.64434947157037
2021-07-23,700,C,5589,-284.93565130822054
2021-07-23,750,C,1728,-833.6424132916183
2021-07-26,750,C,10340,-643.5541598383027
2021-07-26,700,C,20016,-182.65459011618702
2021-07-26,675,C,2522,-40.62311218868359
2021-07-26,650,C,6006,-32.413514927317294
2021-07-26,625,C,111,-7.713256499371397
2021-07-26,600,C,558,11.122066472420059
2021-07-26,550,C,69,20.31205333982696
2021-07-27,550,C,65,5.650201017646623
2021-07-27,600,C,776,-31.08560752849243
2021-07-27,625,C,313,-108.08435063788409
2021-07-27,650,C,13418,-228.43157025308096
2021-07-27,675,C,2951,-423.1610895765575
2021-07-27,700,C,15663,-1463.777328425334
2021-07-27,750,C,4271,-6284.809354842526
2021-07-28,750,C,1010,-29708.8589311506
2021-07-28,700,C,5587,-6085.843086093031
2021-07-28,675,C,2055,-1075.2916109829473
2021-07-28,650,C,15987,-325.3902157838867
2021-07-28,625,C,147,-88.0390130869857
2021-07-28,600,C,329,-20.190022161060966
2021-07-28,550,C,21,9.75920226517296
2021-07-29,550,C,32,29.236765216421745
2021-07-29,600,C,213,21.188833702142873
2021-07-29,625,C,108,-1.9997162356395535
2021-07-29,650,C,5872,-97.58241934643715
2021-07-29,675,C,12578,-206.90548266225846
2021-07-29,700,C,28518,-1368.4746774909383
2021-07-29,750,C,1845,-13547.701218776396
2021-07-30,750,C,755,-49451.92719486123
2021-07-30,700,C,57749,-1508.8441690674586
2021-07-30,675,C,6273,-131.89388593991268
2021-07-30,650,C,974,2.258355693586367
2021-07-30,625,C,216,24.486504301680142
2021-07-30,600,C,136,33.4428374155098
2021-07-30,550,C,14,33.85220960074503
