TradingDate,CallPut,StrikePrice,Quantity
2021-06-11,C,300,0
2021-06-11,P,300,13
2021-06-11,C,310,0
2021-06-11,P,310,6
2021-06-11,C,320,0
2021-06-11,P,320,4
2021-06-11,C,330,0
2021-06-11,P,330,0
2021-06-11,C,340,0
2021-06-11,P,340,0
2021-06-11,C,350,0
2021-06-11,P,350,17
2021-06-11,C,360,0
2021-06-11,P,360,0
2021-06-11,C,370,0
2021-06-11,P,370,0
2021-06-11,C,380,0
2021-06-11,P,380,0
2021-06-11,C,390,0
2021-06-11,P,390,0
2021-06-11,C,400,0
2021-06-11,P,400,18
2021-06-11,C,410,0
2021-06-11,P,410,4
2021-06-11,C,420,0
2021-06-11,P,420,6
2021-06-11,C,430,0
2021-06-11,P,430,0
2021-06-11,C,440,0
2021-06-11,P,440,1
2021-06-11,C,450,0
2021-06-11,P,450,3
2021-06-11,C,460,0
2021-06-11,P,460,2
2021-06-11,C,470,0
2021-06-11,P,470,9
2021-06-11,C,480,0
2021-06-11,P,480,6
2021-06-11,C,490,1
2021-06-11,P,490,2
2021-06-11,C,500,3
2021-06-11,P,500,6
2021-06-11,C,510,0
2021-06-11,P,510,6
2021-06-11,C,520,0
2021-06-11,P,520,0
2021-06-11,C,530,3
2021-06-11,P,530,0
2021-06-11,C,535,0
2021-06-11,P,535,1
2021-06-11,C,540,0
2021-06-11,P,540,5
2021-06-11,C,545,0
2021-06-11,P,545,7
2021-06-11,C,550,2
2021-06-11,P,550,7
2021-06-11,C,555,0
2021-06-11,P,555,4
2021-06-11,C,560,2
2021-06-11,P,560,1
2021-06-11,C,565,0
2021-06-11,P,565,0
2021-06-11,C,570,0
2021-06-11,P,570,0
2021-06-11,C,575,1
2021-06-11,P,575,26
2021-06-11,C,577.5,1
2021-06-11,P,577.5,0
2021-06-11,C,580,0
2021-06-11,P,580,27
2021-06-11,C,582.5,0
2021-06-11,P,582.5,0
2021-06-11,C,585,0
2021-06-11,P,585,0
2021-06-11,C,587.5,0
2021-06-11,P,587.5,2
2021-06-11,C,590,0
2021-06-11,P,590,4
2021-06-11,C,592.5,0
2021-06-11,P,592.5,1
2021-06-11,C,595,0
2021-06-11,P,595,1
2021-06-11,C,597.5,0
2021-06-11,P,597.5,0
2021-06-11,C,600,5
2021-06-11,P,600,11
2021-06-11,C,602.5,0
2021-06-11,P,602.5,0
2021-06-11,C,605,2
2021-06-11,P,605,13
2021-06-11,C,607.5,1
2021-06-11,P,607.5,4
2021-06-11,C,610,11
2021-06-11,P,610,5
2021-06-11,C,612.5,1
2021-06-11,P,612.5,2
2021-06-11,C,615,3
2021-06-11,P,615,1
2021-06-11,C,617.5,4
2021-06-11,P,617.5,2
2021-06-11,C,620,3
2021-06-11,P,620,3
2021-06-11,C,622.5,2
2021-06-11,P,622.5,2
2021-06-11,C,625,160
2021-06-11,P,625,0
2021-06-11,C,630,0
2021-06-11,P,630,22
2021-06-11,C,635,5
2021-06-11,P,635,4
2021-06-11,C,640,7
2021-06-11,P,640,5
2021-06-11,C,645,4
2021-06-11,P,645,0
2021-06-11,C,650,32
2021-06-11,P,650,12
2021-06-11,C,655,0
2021-06-11,P,655,18
2021-06-11,C,660,2
2021-06-11,P,660,1
2021-06-11,C,665,10
2021-06-11,P,665,0
2021-06-11,C,670,1
2021-06-11,P,670,1
2021-06-11,C,680,58
2021-06-11,P,680,11
2021-06-11,C,690,42
2021-06-11,P,690,0
2021-06-11,C,700,32
2021-06-11,P,700,0
2021-06-11,C,710,5
2021-06-11,P,710,0
2021-06-11,C,720,12
2021-06-11,P,720,1
2021-06-11,C,730,50
2021-06-11,P,730,0
2021-06-11,C,740,71
2021-06-11,P,740,0
2021-06-11,C,750,103
2021-06-11,P,750,0
2021-06-11,C,760,94
2021-06-11,P,760,0
2021-06-11,C,770,75
2021-06-11,P,770,0
2021-06-11,C,780,35
2021-06-11,P,780,0
2021-06-11,C,790,100
2021-06-11,P,790,0
2021-06-11,C,800,43
2021-06-11,P,800,0
2021-06-11,C,810,1
2021-06-11,P,810,0
2021-06-11,C,820,5
2021-06-11,P,820,0
2021-06-11,C,830,0
2021-06-11,P,830,0
2021-06-11,C,840,2
2021-06-11,P,840,0
2021-06-11,C,850,2
2021-06-11,P,850,0
2021-06-11,C,860,0
2021-06-11,P,860,0
2021-06-11,C,870,0
2021-06-11,P,870,0
2021-06-11,C,880,0
2021-06-11,P,880,0
2021-06-11,C,890,6
2021-06-11,P,890,0
2021-06-11,C,900,31
2021-06-11,P,900,0
2021-06-11,C,910,135
2021-06-11,P,910,0
2021-06-11,C,920,192
2021-06-11,P,920,0
2021-06-11,C,930,246
2021-06-11,P,930,0
2021-06-11,C,940,321
2021-06-11,P,940,0
2021-06-11,C,950,75
2021-06-11,P,950,0
2021-06-11,C,960,192
2021-06-11,P,960,0
2021-06-11,C,970,270
2021-06-11,P,970,0
2021-06-11,C,980,51
2021-06-11,P,980,0
2021-06-11,C,990,153
2021-06-11,P,990,0
2021-06-11,C,1000,60
2021-06-11,P,1000,0
2021-06-14,C,50,0
2021-06-14,P,50,0
2021-06-14,C,100,0
2021-06-14,P,100,0
2021-06-14,C,150,0
2021-06-14,P,150,0
2021-06-14,C,200,0
2021-06-14,P,200,5
2021-06-14,C,250,2
2021-06-14,P,250,0
2021-06-14,C,300,0
2021-06-14,P,300,15
2021-06-14,C,310,0
2021-06-14,P,310,6
2021-06-14,C,320,0
2021-06-14,P,320,4
2021-06-14,C,330,0
2021-06-14,P,330,1
2021-06-14,C,340,0
2021-06-14,P,340,10
2021-06-14,C,350,0
2021-06-14,P,350,17
2021-06-14,C,360,0
2021-06-14,P,360,2
2021-06-14,C,370,0
2021-06-14,P,370,0
2021-06-14,C,380,0
2021-06-14,P,380,0
2021-06-14,C,390,0
2021-06-14,P,390,10
2021-06-14,C,400,0
2021-06-14,P,400,18
2021-06-14,C,410,0
