TradingDate,StrikePrice,CallPut,Volume,AVGPrice
2021-06-10,480,C,3,144.1833333333333
2021-06-10,490,C,2,131.6
2021-06-10,500,C,6,127.48333333333333
2021-06-10,530,C,1,102.48
2021-06-10,550,C,2,87.265
2021-06-10,560,C,2,80.59
2021-06-10,575,C,1,69.68
2021-06-10,577.5,C,1,68
2021-06-10,600,C,4,57.235
2021-06-10,602.5,C,2,54.8
2021-06-10,605,C,6,56.163333333333334
2021-06-10,607.5,C,1,54.15
2021-06-10,610,C,11,52.58454545454546
2021-06-10,612.5,C,1,51.25
2021-06-10,615,C,4,49.287499999999994
2021-06-10,617.5,C,3,50.126666666666665
2021-06-10,620,C,3,48.916666666666664
2021-06-10,622.5,C,2,46.239999999999995
2021-06-10,625,C,7,45.93
2021-06-10,635,C,4,42.550000000000004
2021-06-10,640,C,3,38.666666666666664
2021-06-10,645,C,4,36.5725
2021-06-10,650,C,14,34.79571428571428
2021-06-10,660,C,2,31.75
2021-06-10,665,C,2,29.685000000000002
2021-06-10,670,C,1,27
2021-06-10,680,C,21,25.642380952380957
2021-06-10,690,C,26,23.29730769230768
2021-06-10,700,C,31,20.46354838709678
2021-06-10,710,C,6,19.150000000000002
2021-06-10,720,C,23,16.96217391304348
2021-06-10,730,C,23,15.093478260869563
2021-06-10,740,C,26,14.018461538461539
2021-06-10,750,C,35,12.26
2021-06-10,760,C,18,11.181666666666667
2021-06-10,770,C,16,10.752500000000001
2021-06-10,780,C,10,8.896999999999998
2021-06-10,790,C,46,8.13695652173913
2021-06-10,800,C,39,7.825128205128204
2021-06-10,810,C,2,6.925000000000001
2021-06-10,820,C,10,6.005000000000001
2021-06-10,840,C,4,5.0225
2021-06-10,850,C,3,4.2
2021-06-10,890,C,4,3.5225
2021-06-10,900,C,23,3.5352173913043488
2021-06-10,910,C,16,3.0112500000000004
2021-06-10,920,C,15,2.938
2021-06-10,930,C,13,2.724615384615385
2021-06-10,940,C,28,2.5949999999999998
2021-06-10,950,C,12,2.454166666666667
2021-06-10,960,C,34,2.2052941176470595
2021-06-10,970,C,54,2.1787037037037043
2021-06-10,980,C,27,2.045555555555555
2021-06-10,990,C,4,2.38
2021-06-10,1000,C,17,1.7658823529411765
2021-06-10,300,P,4,1.3175
2021-06-10,310,P,3,1.5233333333333334
2021-06-10,320,P,3,1.7966666666666669
2021-06-10,350,P,7,2.3071428571428574
2021-06-10,370,P,4,3.065
2021-06-10,400,P,16,3.758125000000001
2021-06-10,410,P,1,4.11
2021-06-10,420,P,2,4.65
2021-06-10,440,P,1,5.45
2021-06-10,450,P,5,7.002
2021-06-10,460,P,5,7.938000000000001
2021-06-10,470,P,6,9.571666666666667
2021-06-10,480,P,6,10.81
2021-06-10,490,P,4,11.2
2021-06-10,500,P,10,15.194999999999999
2021-06-10,510,P,5,16.182
2021-06-10,535,P,1,22.06
2021-06-10,540,P,7,23.794285714285714
2021-06-10,545,P,2,23.799999999999997
2021-06-10,550,P,8,25.06875
2021-06-10,555,P,2,30.14
2021-06-10,560,P,1,28.21
2021-06-10,575,P,7,34.988571428571426
2021-06-10,580,P,4,37.462500000000006
2021-06-10,587.5,P,1,37.55
2021-06-10,590,P,2,40.58
2021-06-10,592.5,P,2,41.620000000000005
2021-06-10,595,P,1,43.55
2021-06-10,600,P,11,47.02
2021-06-10,605,P,4,46.9875
2021-06-10,607.5,P,2,50.225
2021-06-10,610,P,7,50.91857142857142
2021-06-10,612.5,P,4,51.587500000000006
2021-06-10,615,P,2,51.635000000000005
2021-06-10,617.5,P,2,54.525
2021-06-10,620,P,2,56.91
2021-06-10,622.5,P,3,59.776666666666664
2021-06-10,630,P,6,62.55166666666667
2021-06-10,635,P,2,66.64
2021-06-10,640,P,1,67.5
2021-06-10,650,P,6,73.33833333333332
2021-06-10,655,P,5,75.7
2021-06-10,660,P,1,80.5
2021-06-10,670,P,1,83.46
2021-06-10,680,P,1,93
2021-06-10,720,P,1,124.05
2021-06-11,250,C,3,356.01666666666665
2021-06-11,450,C,1,166
2021-06-11,500,C,1,122.01
2021-06-11,520,C,1,103.05
2021-06-11,535,C,3,91.88333333333333
2021-06-11,545,C,1,84.78
2021-06-11,550,C,3,83.75666666666667
2021-06-11,555,C,2,79.425
2021-06-11,560,C,3,77.05333333333333
2021-06-11,565,C,1,74.17
2021-06-11,570,C,1,71.05
2021-06-11,580,C,1,62.63
2021-06-11,600,C,7,52.98571428571428
2021-06-11,605,C,21,49.987619047619035
2021-06-11,607.5,C,9,49.36555555555556
2021-06-11,610,C,5,48.646
2021-06-11,615,C,2,44.655
2021-06-11,617.5,C,2,45.230000000000004
2021-06-11,620,C,4,43.395
2021-06-11,625,C,5,41.696000000000005
2021-06-11,635,C,1,36
2021-06-11,640,C,4,35.879999999999995
2021-06-11,645,C,1,34.46
2021-06-11,650,C,19,31.41263157894736
2021-06-11,655,C,3,29.663333333333338
2021-06-11,660,C,5,27.52
2021-06-11,665,C,3,26.7
2021-06-11,670,C,5,25.278
2021-06-11,680,C,4,22.5675
2021-06-11,690,C,4,20.3775
2021-06-11,700,C,37,17.973513513513517
2021-06-11,710,C,7,15.78
2021-06-11,720,C,6,13.841666666666669
2021-06-11,730,C,1,12.7
2021-06-11,750,C,17,10.177058823529412
2021-06-11,760,C,3,9.026666666666666
2021-06-11,770,C,4,8.0325
2021-06-11,780,C,1,7.25
2021-06-11,790,C,10,6.862
2021-06-11,800,C,6,5.958333333333333
2021-06-11,810,C,2,5.79
2021-06-11,820,C,11,4.953636363636364
2021-06-11,830,C,4,4.6875
2021-06-11,840,C,1,4.2
2021-06-11,850,C,6,4.01
